RANK,"MALE NAME","NUMBER OF MALES","FEMALE NAME","NUMBER OF FEMALES"
413,Nico,751,Anaya,767
414,Emanuel,750,Serena,765
415,Kade,750,Katelyn,764
416,Moises,748,Ophelia,763
417,Hugo,746,Regina,762
418,Ruben,746,Helen,760
419,Adan,741,Remington,758
420,Abram,740,Camryn,754
421,Zaiden,733,Royalty,752
422,Augustus,732,Cadence,747
423,Khalil,732,Amari,746
424,Cyrus,731,Jada,746
425,Marcos,728,Kathryn,746
426,Philip,728,Skye,746
427,Phillip,726,Ariyah,744
428,Esteban,724,Emely,743
429,Bruce,719,Cheyenne,739
430,Braylen,718,Saylor,739
431,Kamden,717,Aylin,738
432,Albert,715,Francesca,738
433,Lawson,711,Sabrina,736
434,Sterling,711,Kendra,735
435,Kyson,709,Fernanda,733
436,Damon,707,Eve,729
437,Gunnar,705,Mckinley,728
438,Jamison,705,Frances,726
439,Franklin,704,Sarai,720
440,Luka,703,Carolina,719
441,Ezequiel,700,Nylah,716
442,Pablo,698,Kennedi,715
443,Zachariah,698,Tatum,711
444,Cade,695,Winter,708
445,Derrick,695,Zariah,708
446,Jonas,690,Lennon,707
447,Dexter,683,Raven,707
448,Kolton,681,Alani,705
449,Trenton,681,Leslie,702
450,Remy,680,Mabel,702
451,Tate,680,Sierra,702
452,Hank,679,Abby,696
453,Drew,673,Willa,696
454,Kian,673,April,693
455,Dax,662,Selah,693
456,Mohamed,662,Carly,691
457,Rocco,662,Rosemary,691
458,Mathias,660,Jolene,690
459,Bowen,658,Madelynn,690
460,Francis,658,Aviana,688
461,Ronald,657,Lorelei,683
462,Matthias,655,Renata,683
463,Maximilian,650,Briana,679
464,Milan,650,Celeste,674
465,Corey,649,Wren,672
466,Royce,649,Charleigh,670
467,Skyler,648,Annabella,669
468,Kasen,642,Leighton,667
469,Drake,640,Braelyn,663
470,Gerardo,637,Jayleen,662
471,Jayson,632,Ashlyn,660
472,Sage,627,Jazlyn,660
473,Moses,626,Mira,660
474,Benson,624,Oakley,656
475,Braylon,623,Malaysia,654
476,Alijah,617,Edith,653
477,Rhys,616,Hattie,651
478,Otto,615,Avianna,648
479,Oakley,610,Emmalyn,647
480,Armando,607,Kensley,647
481,Jaime,606,Maryam,647
482,Nixon,605,Sylvia,644
483,Saul,604,Marlee,642
484,Scott,604,Macie,641
485,Brycen,601,Cataleya,639
486,Ariel,600,Demi,639
487,Donald,600,Maia,639
488,Enrique,600,Allyson,638
489,Chandler,592,Bristol,638
490,Asa,590,Lilith,636
491,Eden,588,Itzel,635
492,Davis,584,Kaydence,634
493,Keith,584,Melany,632
494,Rowen,583,Holly,630
495,Lawrence,582,Nia,630
496,Frederick,581,Nayeli,629
497,Leonidas,581,Liana,627
498,Aden,580,Meredith,627
499,Julio,580,Megan,626
500,Darius,577,Bethany,624
501,Johan,576,Justice,623
502,Danny,575,Janelle,621
503,Deacon,575,Alejandra,617
504,Taylor,573,Ashlynn,617
505,Cason,572,Elianna,617
506,Nikolai,572,Adelina,616
507,Royal,572,Elisa,616
508,Alec,571,Myra,615
509,Armani,569,Aleah,613
510,Omari,569,Lainey,613
511,Kieran,567,Blair,612
512,Luciano,567,Kassidy,612
513,Rodrigo,566,Charley,610
514,Arjun,563,Virginia,610
515,Raphael,559,Kara,608
516,Ahmed,558,Helena,604
517,Ronin,558,Michaela,604
518,Brendan,557,Sasha,602
519,Cullen,556,Julie,601
520,Raul,555,Carter,599
521,Brock,550,Henley,598
522,Alonzo,549,Matilda,598
523,Pierce,546,Kehlani,597
524,Dillon,543,Maisie,595
525,Casey,542,Hallie,594
526,Uriel,538,Jazmin,590
527,Moshe,535,Priscilla,590
528,Dustin,534,Cecelia,582
529,Roland,534,Colette,582
530,Gianni,532,Marilyn,582
531,Landyn,529,Danna,580
532,Apollo,527,Elliott,580
533,Emmitt,527,Baylee,578
534,Kobe,527,Ivanna,577
535,Roy,527,Alayah,575
536,Ryland,527,Cameron,575
537,Aarav,526,Celine,575
538,Dorian,526,Hanna,574
539,Duke,521,Imani,573
540,Sam,521,Angelica,571
541,Quentin,520,Emelia,568
542,Lewis,518,Kalani,568
543,Tony,517,Addyson,567
544,Uriah,516,Macy,565
545,Dennis,514,Alanna,564
546,Braden,508,Lorelai,564
547,Isaias,507,Karina,563
548,Quinton,506,Aleena,561
549,Niko,505,Johanna,561
550,Ayaan,503,Leona,561
551,Cannon,503,Aisha,560
552,Mathew,503,Mallory,558
553,Kellan,502,Kynlee,557
554,Edison,495,Madilynn,555
555,Jerry,493,Mariam,554
556,Izaiah,489,Karla,553
557,Gustavo,486,Karen,552
558,Jamari,485,Beatrice,548
559,Marvin,485,Skyla,547
560,Mauricio,484,Dayana,543
561,Ahmad,481,Gloria,541
562,Justice,481,Milani,538
563,Trey,481,Savanna,535
564,Mohammad,480,Karsyn,533
565,Sincere,479,Giuliana,532
566,Elian,478,Rory,532
567,Mohammed,478,Lauryn,531
568,Callen,477,Liberty,531
569,Yusuf,477,Galilea,530
570,Arturo,476,Charli,529
571,Keaton,475,Aubrie,527
572,Memphis,475,Brylee,525
573,Rayan,475,Kyleigh,525
574,Wilder,475,Jillian,524
575,Mekhi,473,Anne,522
576,Cayson,472,Azalea,520
577,Conrad,468,Dallas,520
578,Kyree,468,Haylee,520
579,Kaison,467,Jayda,519
580,Lucian,467,Avah,517
581,Soren,467,Tiffany,517
582,Colby,465,Shiloh,516
583,Cassius,464,Bailee,515
584,Bryant,463,Esme,513
585,Brennan,462,Jazmine,512
586,Marcelo,462,Coraline,511
587,Nikolas,462,Madisyn,511
588,Alfredo,461,Elaine,507
589,Darren,459,Kyra,506
590,Jasiah,459,Lilian,506
591,Forrest,458,Irene,505
592,Lionel,458,Kaliyah,505
593,Chris,457,Octavia,505
594,Reece,457,Dorothy,504
595,Ty,457,Kora,503
596,Jimmy,456,Kelly,502
597,Korbin,455,Laurel,502
598,Tatum,453,Remy,502
599,Jalen,448,Lacey,501
600,Santino,445,Adley,500
601,Case,440,Anika,500
602,Issac,436,Sutton,500
603,Leonard,435,Janiyah,499
604,Alvin,434,Kimber,498
605,Samson,434,Rebekah,498
606,Bo,432,Cassandra,497
607,Quincy,432,Julieta,497
608,Alberto,431,Sloan,497
609,Rex,431,Amalia,494
610,Callum,430,Collins,494
611,Curtis,430,Elliot,494
612,Hezekiah,430,Jamie,494
613,Mack,430,Jemma,494
614,Kamari,428,Emmy,493
615,Finnley,425,Hayley,493
616,Briggs,424,Jaylah,486
617,Zeke,424,Melina,486
618,Neil,421,Leyla,485
619,Raylan,421,Kailani,484
620,Julien,419,Anahi,482
621,Titan,419,Jaliyah,481
622,Devon,418,Harlee,479
623,Kellen,418,Saige,476
624,Kylan,417,Wynter,475
625,Axton,416,Alessia,473
626,Crosby,415,Monica,472
627,Roger,415,Anya,471
628,Carl,413,Emberly,469
629,Larry,413,Antonella,468
630,Douglas,411,Ivory,467
631,Fletcher,410,Khaleesi,467
632,Makai,410,Emory,465
633,Nelson,410,Greta,465
634,Alden,408,Alena,464
635,Lance,408,Maren,464
636,Hamza,407,Cynthia,461
637,Gary,406,Addisyn,460
638,Bruno,403,Alaia,460
639,Jakob,403,Alia,460
640,Wilson,403,Mae,459
641,Ares,402,Angie,458
642,Cairo,402,Ariya,458
643,Kashton,402,Lylah,458
644,Alessandro,401,Aileen,455
645,Nathanael,401,Alma,455
646,Stetson,401,Crystal,455
647,Byron,399,Jayde,455
648,Harley,399,Kinslee,455
649,Harry,399,Zahra,455
650,Zain,399,Zelda,455
651,Maurice,395,Katalina,454
652,Mitchell,395,Reyna,454
653,Kingsley,393,Siena,454
654,Orlando,391,Kailey,453
655,Ramon,390,Marie,453
656,Trent,389,Pearl,453
657,Kaysen,388,Jessie,450
658,Sylas,388,Tiana,450
659,Boston,387,Amirah,449
660,Noe,386,Madalyn,449
661,Jagger,385,Alaya,448
662,Lucca,385,Lilyana,446
663,Thaddeus,385,Julissa,442
664,Reyansh,384,Armani,440
665,Vihaan,383,Lennox,440
666,Randy,381,Lillie,440
667,Lennon,380,Rosa,439
668,Kannon,377,Laney,438
669,Kohen,377,Mara,438
670,Yosef,377,Jolie,437
671,Abdiel,376,Roselyn,437
672,Salvador,376,Joelle,436
673,Tristen,376,Kaylani,435
674,Valentino,376,Liv,435
675,Kristopher,374,Aurelia,434
676,Langston,374,Bridget,434
677,Maxton,374,Oaklyn,434
678,Rohan,372,Clarissa,431
679,Deandre,366,Marissa,430
680,Lee,366,Rosie,429
681,Morgan,366,Elyse,428
682,Rayden,365,Monroe,427
683,Tripp,364,Kori,426
684,Callan,363,Aliza,425
685,Joe,363,Poppy,425
686,Ricky,362,Elsa,424
687,Dariel,360,Emmie,424
688,Colten,359,Amelie,423
689,Jedidiah,358,Aitana,422
690,Reese,358,Eileen,421
691,Terry,356,Chaya,420
692,Bronson,354,Braylee,419
693,Clay,354,Milana,418
694,Eddie,354,Royal,417
695,Jefferson,353,Addilynn,416
696,Lachlan,353,Frida,416
697,Layne,353,Bonnie,414
698,Madden,353,Amora,413
699,Amos,352,Stevie,412
700,Jamir,351,Emerie,410
701,Tomas,351,Malaya,410
702,Kareem,349,Mina,410
703,Stanley,349,Tatiana,410
704,Brayan,347,Reign,407
705,Clyde,347,Annika,406
706,Ernesto,346,Zaylee,406
707,Kase,346,Kenia,405
708,Kristian,345,Linda,405
709,Ford,344,Kenna,404
710,Tommy,344,Faye,403
711,Brecken,343,Jaelyn,402
712,Chaim,342,Kadence,402
713,Casen,341,Reina,402
714,Braydon,340,Astrid,401
715,Crew,339,Brittany,401
716,Axl,338,Marina,401
717,Hassan,338,Mikaela,401
718,Boone,335,Kaylie,399
719,Samir,335,Bria,398
720,Leandro,333,Briar,397
721,Magnus,333,Lyra,396
722,Abdullah,332,Teresa,396
723,Jaziel,332,Hadassah,394
724,Branson,331,Lilianna,394
725,Yousef,330,Noa,392
726,Jaxen,328,Guadalupe,391
727,Franco,327,Rayna,391
728,Jadiel,327,Chanel,390
729,Layton,327,Laylah,389
730,Ben,326,Zariyah,389
731,Grey,326,Meadow,388
732,Kelvin,326,Aubrielle,387
733,Melvin,324,Aniya,385
734,Ridge,324,Livia,385
735,Demetrius,323,Ellen,383
736,Blaine,322,Elora,382
737,Colson,322,Clementine,381
738,Lochlan,322,Hunter,381
739,Anakin,321,Leanna,381
740,Aryan,321,Milan,381
741,Dash,320,Amiya,380
742,Jon,319,Ellis,380
743,Otis,318,Princess,379
744,Canaan,317,Nathalie,378
745,Zechariah,317,Nola,378
746,Alonso,316,Tenley,375
747,Zaire,316,Lina,374
748,Brett,314,Martha,374
749,Marcel,314,Simone,374
750,Dominik,312,Louisa,372
751,Stefan,312,Sariah,372
752,Aldo,311,Marianna,371
753,Dane,311,Emmeline,369
754,Flynn,311,Noemi,369
755,Jeffery,311,Belen,368
756,Talon,311,Kenley,368
757,Baylor,310,Myah,368
758,Enoch,309,Erika,365
759,Carmelo,308,Everlee,364
760,Jamal,308,Lara,364
761,Kole,308,Maleah,364
762,Kye,308,Amani,362
763,Graysen,307,Ansley,362
764,Fisher,306,Salma,362
765,Aron,305,Dulce,358
766,Fox,305,Elisabeth,358
767,Ray,305,Jaelynn,358
768,Terrance,305,Kiera,358
769,Vicente,305,Nala,358
770,Jamie,303,Penny,357
771,Joziah,303,Mercy,356
772,Rey,303,Averi,355
773,Zaid,303,Deborah,355
774,Emery,302,Natasha,355
